text,label
barang sudah sampai setelah di pakai ternyata ada tombol yg rusaktidak merespon termasuk tombol space,0
tks barang sesuai diskripsi dan paking ok aman tks nanti kuta irdee disini lagi ya,1
oke barang bagus dan mendarat dengan selamat makasih bos q,1
seller top pengiriman cepat dan ramah memberikan solusi dan sangat care kepada pembeli sukses terus sj komputer,1
sandal bagus service cepat recommended seller,1
bagus produknya tapi pengirimannya mengecewakanpake gosend hari yang bener lo ndro hadeuhhhh parah,1
barang sdh diterima packing nya rapi sesuai dengan yg ditawarkan mantap,1
makasih promonya quality ga usah ditanya namanya ori ya pasti bagus d,1
paket sudah sampai dengan baik kabel nya yang lentur iya sesuai harga thx,1
barang masih disegel blum dicek mksh,1
barang sesuai ekspetasi packing rapi recommended terima kasih,1
bahan nya bagus sesuai gambar untuk harga segini saya kira nice,1
barang sudah diterima dan terima aksih atas layanannya,1
keren selalu fast respon,1
sesuai produknya cpt sampainya mantab,1
paket sdh diterima gan thanks,1
ga nyesel deh belanja di sni barang mulus packingan rapih pengantaran cepat,1
mantabsssss terimakasih ya,1
sesuai ekspektasi bagus bahannya seller tepat waktu fast response sukses terus ya god bless,1
sudah di pasanghasilnya memuaskan,1
sesuai dengan deskripsi,1
pengiriman cepattop,1
sudah mendarat dengan aman,1
barang sudah sampai belum tak coba,1
tks,1
mantapsesuai pesanantx om,1
mantap sudah sampai walaupun boxnya agak rusak tpi gpp,1
pengiriman cepatbarangnya mantapsmg awet,1
respon cepat pengiriman cepatbarang belum ditest,1
thanks bos barangnya bagus sesuai,1
ukuran dan model sesuai deskripsi susah nyari nomer rata ngasi caption size tp diliat di deskripsinya ngga ada produknya bagus packingnya juga mantap keliatan keseriusan usahanya buat dagang dr packingan,1
barang sudah diterima dengan baik thanks,1
positif operatornya fast respon pengirimannya jg cepet bgt negatif tidak sebagus yg diharapkanlemnya agak berepotan kluar over all ok lahthx ya,1
barang mantap sekali pokoknya,1
sudah sampai sis cepet banget tq,1
mantap gan mantap mantap dan mantap bintang gan,1
barang pesanan sudah sampaisesuai pesanangood recommendtrmksh,1
sesuai spek trima kasi barang ok,1
mantap cepat sampai,1
respon cepat barang sesuai deskripsi and original recommended,1
produk sudah diterima tetapi belum dipakai thanx,1
saking cepatnya tiba sebelum jam rekomen seller top,1
barang sampai sesuai dengan foto,1
lumayan lah hp nyackp buat ortu yg ckp tlp dan sms saja,0
paket sudah diterimaterima kasih,1
respon penjual cepat pengiriman cepat recommended,1
makasih gan barang udah di tes juga lumayan empuk dan nyaman,1
kemasan agak penyok di bagian ujung kiri saat diterimaada cacat di connector usb,0
terima kasih gan sdh saya terima barangnya bagus,1
bagusfast respongood job,1
produk bagus walo ada sedikit sisa lem yg tdk bersih tp ttp super love delivery bandung jkt cepet bgt euy top bgt,1
terimakasih respon dan pengiriman cepat,1
mantap jiwa walaupun mau hari raya tetap dikirim mantap djiwa,1
barang sudah diterima sesuai pesanan makasih gan,1
topp mantab jd langganan ni,1
terimakasih,0
thx barang sudah sampai dengan selamat packing rapih,1
sesuai deangan pesaan saya trimakasih,1
baru pertama beli di alive alhamdulillah sizenya pas sepatunya juga enakeun kayaknya ga bakalan bikin pegel kalo dipake lamalama,1
review setelah minggu baterai ini ok meski turunnya lebih cepat dari baterai bawaan tapi baterai tidak panas dan bekerja dengan baik sekali,1
sampai tepat waktu dan tidak ada trouble,1
charger untuk headset warna putih terdapat benda asing yg menghalangi lubang mengakibatkan carger tidak masuk kedalam input charger headset,0
amannnnnn,1
makasiih paketnya baru nyampeedi tingkatkan lg pengirimannya yaa,1
bagus ko cuma ini emang dari sananya gak ada headsetnya,1
sepatunya bagus sesuai foto,1
i received the package today couldnt choose the colour quick delivery,1
produk bagus semua port berfungsi empatnya sekaligus recommended,1
barang sudah diterima order pagi siang nongol fast respond seller baterai sudah dipasang dan cek cycle count kondisi saat diterima ok,1
bisa digunakan dengan baik bahan bukan bahan murahan emang ini yang paling bagus deh kayanya,1
bagus,1
mantapbarang sesuai dengan pesanan,1
barang diterima dengan kondisi naik,1
barang baik namun kotak ngak sesuai denagn isi,1
packing oke barang sesuai harga,1
respon dan pengiriman dari seller oke,1
pengiriman sangat cepat produk juga bagus,1
barang bagus diterima tepat waktu kualitas sesuai gambar,1
barang sudah diterima dirumah cuma belum liat krn masih diluar kota thanks gan,1
keren barang mantap dah sukses terusssss,1
no komen soalnya dah bagus baget dah di bantu,1
terimakasih barang sampai sesuai pesanan,1
barang di kirim salah kirim warna sudah dikembalikan uang rb selanjutnya setelah di check barang ternyata itu yang dikirim redmi note bukan redmi note x harusnya cpu helio x deca core ghz ternyata yang dikirim qualcom snapdragon octa core max ghz jadi kadung deh mau di refund juga repoooooot,0
apa yang mau saya ulas produk ini tidak jadi dikirim oleh penjual kecewa berat respon penjual sangat lama kurang dari jam sebelum auto cancel resi baru diinput diminta penggantian size via chat dijawab iya tapi ternyata tidak diganti mengganti kurir tanpa pemberitahuan terlebih dahulu akibatnya saya kena charge lebih dan satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim salah penulisan alamat sehingga paket misroute sampai kali ketika diminta menghubungi kurir untuk merevisi alamat hanya dijawab kami cek dulu lalu menghilang saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini,0
kualitasnya rendah ya sesuai harga lah tapi bisa berfungsi dg baik thx,0
cl canon ori canon printer,1
barang sudah sy trima cuma frame nya tidak sesuai pesanan di chat buat solusi cuma di baca saja sungguh kecewa,0
brang oke tp pengiriman lama,0
tinta asli terimakasih,1
pengiriman cepat kualitas ok banget,1
barang ok packing rapih,1
pesanan sudah saya terima dengan baik pelayanan yg cepat dan memuaskan terima kasih,1
responsif barang dalam kondisi baik pengiriman cepat diproses,1
penggiriman cepat kualitas memuaskan sesuai harga,1
produk original dan motifnya bagus sekali,1
ane belii buat kado,1
lumayan sesuai harga dan picture thx,1
fast shippingthanks quality not check yet,0
smoga awet baterai nya barang sesuai deskripsi,1
mantap punya kwalitas barang sesuai harga,1
produk sesuai gambarrecommended seller amp tq boss,1
papan boardnya udah sampe trims ya,0
mantab,1
pengiriman cepat thx gan,1
ok lah sesuai denggan harga,0
peroduk bagus sesuai gambar pengiriman cepat puas saya,1
reapon cepat tp sayang harga ada yg tidak sesuai,1
barangny sesuai manteeeeeep,1
respon cepat produk sesuai deskripsi,1
udah nyampe gan belum d coba semoga awet,1
barang diterima dikirim sesuai permintaan dan berfungsi dengan baik hanya saja tombol l nya agak bermasalah no problem deh after all good budget game pad,1
okelah pokoknyeee ntah gmn jelasinnya,1
bagus,1
sudah diterima dengan baik game pad nya makasih gan,1
trimakasihbarangnya udah sampaicepat dan aman,1
barang sudah diterima dengan baik terima kasih,0
jam sudah sampai dan berfungsi dengan benar ada kartu garansinya juga cukup baik,1
barang bagus sesuai pesananmakasih gan,1
produk sesuai foto dan deskripsi size agak kecil dr normal jd next time hra order no lebih besar dr yg biasa dipakai,1
sudah sampai tapi belom saya cek pasangterimakasih,1
barangnya bagustp warna tidak sesuai permintaansemoga karena faktor stoknya yg abis,1
sesuai yg di harapkan,1
produk berfungsi dengan baikmakasih,1
keyboardnya sudah saya coba bagus,1
barang ori pengiriman cepat dan packing aman,1
ini kedua kalinya ane order sama si agan dan memang benar recommended walaupun bentrok sama tgl merah idul adha tapi pengiriman super cepat,1
sesuai deskripsi dan cocok dengan type laptop sy lenovo thinkpad edge e dan berfungsi dengan baik mudahan awet dan garansinya bulan seperti nya original baterai lebih murah drpd beli di toko offline yang sdh sy coba jg yang sy liat ga jauh beda kok di toko offline rata cm bulan garansinya ga berani jamin sampai bulan,1
respon cepet pengiriman cepet recommended,1
sepatunya bagus di pakenya juga nyaman next order lg siist makasih,1
barang sesuai pesanan terima kasih,1
sesuai dengan yang di harapkan,1
pesanan datang dengan cepat dan sesuai dengan yang saya inginkan,1
packing rapih dan aman product sudah dicoba dan oke tidak ada masalah semoga seller tambah sukses,1
pengiriman cepat dan sesuai yang ditawarkan,1
ya baguslah semoga awet,1
barang sudah di terima cepat sampe seller responsive thankssss,1
bagus pengiriman cepat,1
produk kualitas bagus pelayanan memuaskan,1
penjual bertanggung jawab,1
bagus pas keren deh,1
kualitas ok packing rapi seller responsife pokonya mantulll,1
samsung dual sim sangat membantu dan sangat memuaskan tks pelapak,1
barang sudah sampai,1
layanannya cepat tpi sayang warna barang ga sesuai gambar overall penjualnya bagus layanan cepat dan ramah,0
produk baik bahan nyaman agak terkendala karena alamat pengiriman eror di aplikasi,1
barang sudah diterima dengan kondisi baik respon penjual juga baik,1
bagus saya ajukan komplain pun dilayani dgn baik,1
suka bangeetttt sama sepatunya,1
pengiriman cepat barang sesuai foto ok banget recommended pkok nya moga bisa belanja di sini lagi,1
terima kasihbarang sudah diterima dengan baik,1
turunkan harganya juragan,1
bagus sekali barangnya mantul sticknya,1
good job,1
okeeeeeeeeeeeeeeeeeeeeeeeeeeee,1
terima kasih barangnya sudah sampai,1
kurang nempel pd part vinyl,1
terimakasih kak hanya dengan jam barang sdh diterima,1
good productthanks,1
kualitas parah kirimin pertama blank returan kedap kedip bergaris,0
barang sudah tiba mbakwalaupun agak lamahehee,1
barang sudah diterima sesuai gambarrecom untuk lapak ini,1
mantab barang nya sudah di terima thanks,1
sudah sampe tp lom sempat buka omthanks,1
bagusss barangnya sesuai fotokualitas ok harga bersaing packing kardus aman service shipping cepat recommended seller thanks ya warung olahraga,1
barang lumayan baguspelayanannnya juga ramah,0
barang bagus tp pengiriman lamaaaaaa,1
fast respon packing rapih barang sesuai dngn gambar yerima kasih,1
pelayanan top markotop thanks ya udh diterima,1
barang bagus walaupun lama di kurir,1
terima kasih banyak,1
agak sempit depannya meskipun masih kepanjangan,1
barang nya bagus lah,1
bagus bagus bagus fast respond maaf telat kasih ulasan,1
terimakasih sudah di terima brg nya,1
barang berfungsi dengan baik pengirimannya juga sangat cepat,1
barang sdh diterima dgn selamat sampe cepet berfungsi dgn baik,1
berfungsi dengan baik tapi sayang pesan hitam di kirim putih semoga awet,1
pengiriman cepat barang okesemoga awetthanks,1
barang sesuai digambar pelayanan cepat recomended seller,1
produk diterima dengan baik dan sesuai deskripsi,1
gooood cepat sampai recsel,1
unik nyaman tidak harus ribet ama kabel kabel bagus,1
oke barang sdh sampai ya sesuai gambar mksh ya,1
sesuai dgn deskripsi ank sy sukadan dia bilang bagus,1
gk sesuai yg d kirim bukan mtech tp gpp lah thanks,1
terimakasih pesanan udah smp sesuai warna,1
barang sesuai pesanan dan cepat,1
barang oke packing rapi,1
barang sudah sampai dan sesuai terimakasih,1
okeeeeewwwwwwwwwwwwewwwwwwww,1
mantabs barang cepet sampe sesuai pesanan,1
seller responsive tp barangnya tdk begitu sesuai harapan,1
barang sudah sampai dengan baik dan sudah dites,1
verifikasi nya agak lama,0
barangnya sudah ane terima ganmaaf baru ksh ulasan seller ramah dan fast respon produknya blm ane coba semoga berfungsi dg baik yaaa thanks gan sukses terus usahanya,1
orderan sudah diterima dan sesuai diskripsi,1
barang mantaaaaaaaapsukses buat warung olahraga,1
terima kasih barang sudah sampai dengan selamat,1
pelayanannya cepat dan ramah sukses selalu ya,1
jos tempat hp besar sepertinya note pun bisa masuk,1
pengiriman sangat cepat barang bagus recomended seller,1
produk okelumayan tahan lama,1
nice pesanan cepat dan brg nya bagus sama persis di gambar suka,1
thanks ganbrg kalo bagusnanti order lagi,1
barang sesuai dan cpat sampai,1
thanks barangnya sudah sampai hari ini,1
recommended good seller,1
respon cepat produk sesuai dengan gambar,1
makasiiihhhhhhhhhhh baguuss barangnya,1
koneksi jelek sering tidak terbaca repot mesti re plug ulang kalau tidak terbaca,0
kualitas oke harga murmer dan sesuai deskripsi,1
respon cepat pengiriman cepat barang sesuai pesanan,1
cocok smg mkin sukses,1
barang sudah diterima terimakasih yaa,1
responnya cepatbarang bagus,1
terima kasih barang sudah sampai hanya lama di jasa pengiriman krn ada tanggal merah barang sesuai deskripsi hanya warna jd kurang cerah ternyata,1
bagus sessuai deskripsi,1
dikemas dgn baik barang sesuai pesanan dicoba berfungsi dgn baik,1
terima kasih barang sudah sampai packing aman barang selamat tidak rusak,1
produk sesuai,1
terima kasih,1
keren tidak mengecewakan,1
barang bagustop dech,1
berfungsi dengan baik semoga awet,1
installasi standard dan mudah tp kemampuan menembus lantai biasa saja,1
recommended beli disini dijamin bagus barangnya,1
kirain tipis ternyata tebel bahannya bagus ada tali pendek sm tali panjang love lah pokonya,1
bola dikirim dalam keadaan kempes sehingga harus dipompa terlebih dahulu terima kasih kualitas bola bagus,1
mantep,1
bagus semoga awet sendalnya dan belum dipake baru dicoba pas,1
barang mantab sesuai top dah,1
produk sesuai sudah dipakai di sony vaio fit,1
barang kosong,0
sudah dites dan barangnya berfungsi pengiriman ok respon penjual jg ok thanks min,1
baranh bagus sesuai deskripsi,1
thanks gan barang dah diterima,1
barang sesuai pelayanan cepat,1
respon cepat barang sesuai deakripsi terimakasih,1
tepat cepat walupun order tidk begitu besar,1
mantap pokok e barang sesuai gambar laris terus juragan,1
bagusssssssssssssssssssssssss bangetssssss toppppssssss,1
keren rapi pakingnyaa recsell broo,1
barang yg diterima sesuai pesanan,1
barang di terima tetapi pengiriman terlambat,0
terima kasihhhhhhhhhhhhhhhhhhhhhhh,1
bagus dan pengiriman cpt,1
pengirman cepat,1
seller fast response joystick berfungsi dengan baik semoga awet,1
barang mantaap luarbisyah,1
fast respond mantap y,1
barang sudah terkirim siip barangnya,1
biarkan bintang yg menilai,1
bagus gampang dikonfigurasi,1
sudah dipasang dan akhirnya laptop lama rasa baru soalnya batere baru tahan lebih lama,1
harga bersaing pengiriman cepat,1
php bilang isi ada diseskripsi pas dipesen berbeda mubajir rp ternyata isinya ga cocok,0
barang yang diterima sesuai dengan gambar,1
lumayan barangnya bagus makasih,1
respon cepat komplain lgsg di atasi good,1
oke mayan lah biarpun rada penyok kaleng nya,1
barang bsa d pake tpi ga cocok buat tp link wnn soalnya punya saya ga sampai koneksinya tpi buat flash disk bisa mantap jiwa,1
ordernya gunting biasagunting sasaksisir dikasihnya bedalain kali diperhatikan ya pesanan nya,0
baterainya tidak cepat habis tapi saat dicharge juga butuh waktu yang lebih lama dari baterai yang biasanya,0
barang sesuai gambar pengiriman tepat waktu fast respon membalas chat,1
produk sesuai dengan yg ditawarkan,1
real pick bahan lebih tebal,1
respon cepatsesuai deskripsitks,1
kwalitas ketebalan bahan beda,0
mantabbbbbbbbbbb,1
mudahmudahan barang balik,1
bagus packing aman pake bublewrap ndak ada yang patah,1
top produk sampai dengan sesuai,1
sudah dua kali beli barang yg sama di sini produknya terjamin bagus sukses selalu,1
produknya baguspacking barangnya juga rapihpokonya recommend deh,1
barang bagus ringan di pakai,1
lucu bagus suka,1
barang sudah diterima sesuai pesanan dan pengirimannya cepat,1
bajunya pas dan sesuai pesanan,1
thank barangnya udah nyampe,1
sesuai hrapan trima kasih,1
barang sampai dengan selamat terima kasih gan,1
mantap pesanan sdh sampai,1
cepet banget pengirimannya barangnya oke banget,1
mantap sekali respon super cepat barangnya sampai cepat sekali oke banget original segel expired masih panjang mantaaapp,1
sudah sampai bos barangnya meluncur dengan selamat thanks,1
recommended banget serba cepat sesuai mantap,1
pengiriman cepat tapi dari pcs yg dikirim ada yg baterainya sudah habis,0
barang sudah sampai sesuai dengan harapan thanks,1
barangnya sudah sampe makasih ya,0
barang sudah diterima hari ini respon penjual bagus cuma di jne kiriman dalam kota sembilan hari baru nyampe trims,1
excellent,1
pengeleman dan jahitan sepatunya kurang baguskelihatan sekali sepatu murahan kapok,0
oke repeat oredr ke sekian x nya,1
cepat sampai barang sesuai pesanan,1
saya senang produknya dipaketkan dengan rapi dan tidak ada cacat siip pokoknya recommended,1
bagus recommended seller,1
saya kira ini ukurannya besarternyata kecilini hnya buat jamsaya pakai buat senter dan bateerai cadangantrims,1
sesuai gambar berfungsi baik oke lah,1
produk sudah diterima dalam keadaan baik barang asli original pengiriman cepat dan packing kuat terima kasih,1
terima kasih ganbarang sudah sampai,1
cpt pass,1
produk lumayan walau ga sesuai gambar,1
matap n teopebegete deh,1
berfungsi dengan baik kebetulan dapat warna putih pas dengan seleraku thx,1
barang sesuai dengan pict terimakasih,1
bahannya bagus n halus terima kasih ya warung olahraga xd,1
saya senang sekali belanja di sini,1
sippp sesuai gambar pengiriman super cepat barang oke thanks,1
tksssssssssssssssssss,1
mantap kuat cepat good deh,1
oksip,1
barang oke sesuai recommended,1
bagus sesuai dengan pesanan,1
pengiriman express sayang size m ternyt kebesaran buat anak sma,1
ini jg josssss bangetttt,1
produk sesuai harga oke respon cepat,1
mantap rekomen seller barang bagus,1
barang nya ok respon cepat packing rapi dan aman thx bgt,1
paket diterima dengan baek thanks,1
enak value for money bagus,1
barang bagus nih bagi yang suka ngilik,1
tks gan brgny sesuai gambar yang ada,1
walaupun wh sale tetep bagus kualitasnyaa sesuai dengan deskripsi dan gambar,1
bagus dan berkualitas terimah kasih,1
bagus rekomendet buat produknya,1
baik,1
respon penjual cepat terima kasih banyak,1
thanksbarang udah sampaitp blum saya cobak,0
sudah diterima dengan baik proses cepat recommended seller semoga awet terima kasih,1
meski beda sama merek yg di pesan tp cukup memuaskan stick nya berfungsi dengan baik dn kulitas sesuai harganya pokoknya cukup puas,1
safety packing as always dan gak pernah ada masalah,1
makasih sudah sampai dengan baik,1
bagus sesuai gambar pemasangan sangat amat mudah tidak perlu keluar tenaga banyak fast respon seller sangat ramah thx u,1
thx gannext repeat order,1
barang sesuai harga kuat,1
barang yg di kirim tidak sesuai di kirimnya barang yg hrga murah tp okelah uang sisanya udah di kembalikan,0
barang sesuai pesananrespon cepat pengiriman cepat,1
kiriman cepatbagustrimakasih,1
mantap dan mantap mantap mantap,1
sesuai deskripsi packing aman,1
manteppppppp,1
ok,1
goooooooooooooooooooooooood,1
best seller amp products really recommended,1
proses cepat pengiriman cepat sepatunya keren,1
so far berjalan dengan baik mudahan barangnya awet dan tahan lama,1
komen dikit aja yg ptg bintang dah sy beri recommended,1
terimakasih,1
barang sudah diterima dengan baik mntab respon penjual baik pengiriman cepat produk sehat no cacat,1
mantap lancar ga ada masalah,1
alhamdulillah work working,1
seeepppppppppppppppp,1
boxnya sedikit rusak tapi overall bagus barangnya,1
barang bagus pengiriman cepat tempat strapnya juga bagus terima kasih,1
produk yang murah dan berguna,1
proses cepat barang mantapthanks ya,1
oke,1
oooooiikkkkkkeeeeeeeeeeeeeeeeeeeee,1
barang sudah diterima dengan selamat tq,0
barang sangat bagus seller fast respone,1
oke sudah sampai gan terima kasih,1
semua part berfungsi dgn baiksemoga awet respon cepat,1
sudah di terima dengan baik thx seller sesuai pic ukuran imut bgt,1
bagus barenge gan udah smpek kemaren maf baru ngabarin cepat pengirimannya sesuai deh pkonya,1
barang berfungsi dengan baik pengiriman cepat makasih ya gan,1
oke barangnya bagus mantul,1
sudah sy trima barang nya cuma nunggu trlalu lama nyampe barang nya,0
barang sesuai pesanan mantap semoga awet,1
barangnya oke sesuai deskripsi,1
okeeee,1
sesuai harga minusnya pengiriman agak lambat,0
happy call roaster girll cm alat panggang,1
barang yg diterima sudah sesuai dengan deskripsi yg ditawarkan packingnya jg rapih,1
brg tiba dg selamat n berfungsi dg baik moga awet lah,1
mantap sampai dengan aman gan,1
barangnya mantapp gannnn toppp bangat ya allah,1
quality goodpacking rapihservice over all memuaskanthks tamagoo sukses sll,1
fast respon reccomended,1
ga ada yang cacat servicenya oke dan sellernya responsif senaaaang,1
top bgt ni coy doakan saya jd seperti ma long,1
belum di coba kasih bntang dulu,0
harga sesuai rupa dan spek,1
sesuai yg kami pesan harga masih agak lumayan,0
respon cepat pengiriman cepat tp blum di coba mdh bagus,1
bagussssssssssssssssssssssssssssssssssssssss,1
untuk power n walk circuit bagus saya sukanyaman di pakai ringan lagicuma ada sdkt sol yg kliatan d dlm bag blakang tp ok lahpokoknya ga ngecewain min,1
bagus tp smpe nya lamaaaa,1
packing mantap pengiriman cepat,1
barang sesuai pesanan murah lagi cepat sampai tq ya bakal langganan lagi,1
pengiriman cepat,1
barang sampai dengan ganteng mantabbs,1
mantaaap hari udh nyampe barang sesuai deskripsi,1
proses cepet produk sesuai thank you,1
produknya ternyata kosongtp gpp lah uangnya di refund,0
barang sesuai pesanan sampai tujuan cepat,1
mantaps gansukses terus ya,1
nice quality as described,1
packing bagus pake bubble wrap top markotop dah,1
cakep nih ga bakal kecewa recomend bngt,1
ga nyesel murah dan kualitas baik pengiriman juga rapih udh pake buble wrap pake kardus juga keren,1
pengiriman terlalu lama,1
mantaaaaaaaappppppppppppp,1
barang yang dikirimkan sesuai gambar dan kondisi cukup baik,1
brng bgs sesuai gbr pengiriman ok,1
barang sudah sampai dan sudah dilakukan pengecekan dicoba juga sesuai dengan ekspektasi,1
bintang cukup yah o,1
barang udah di terima gan bagus sesuai harapan packing juga mantap sangking mantapnya sampe susah di buka ehehesip lah,1
barang sudah sampai bagus barangnya respon cepet dr seller recommend seller terima kasih,1
respon cepat,1
barang bagus pelayanan mantap,1
barangnya sesuai dengan lapak dan tebal,1
bagus,1
barang cepat sesuai estimasi packing lumayan belom dicoba tapi,1
thank you semoga awet mesin dan rantainya,1
pelayanan cepat barang bagus,1
berfungsi dengan baik semoga awet,1
respon cepatbarang sesuai pesananrecomended seller,1
barang nya okrecommended,1
pelayanan bagus barang mantaap,1
barang sesuai deskripsi belum dicoba packing rapi dan pengiriman cepat recomended seller,1
terimakasih banyak bos pengiriman cepet bingit,1
baguuussss sepatu ori pengiriman cepat respon seller cepat,1
produk bagus sesuai pic dan pesanan pengiriman cepat,1
barang sesuai deskripsi sepatu enak dipakaipuas,1
semua tombol berfungsi hanya saja agak goyang ketika ditekan ntab,1
fast respon good packing,1
mantaabbb harga okee barang okee barang kecil tp membantu banget,1
terima kasih banyak,1
good seller n good service thk u sell,1
baterai belum dites tapi secara fisik barang baru dan berkualitas thanks,1
terimakasih barang sudah sampai kualitas bagus,1
respon memuaskan pengiriman cepat pengepakan aman barang oke makasih gan,1
barang sesuai deskripsitks,1
barang cepat sampai dan ownernya koperatif banget thank u gan semoga awet,1
barang sesuai dan fast responbisa jadi langganan nih ya om,1
repeat order good product,1
sudah terima barangnya thanks,1
mantap sesuai pesanan,1
thanks for fast respond,1
kualitas bagus original semoga awet trima kasih,1
terima kasih barang mendarat dengan selamat tepat waktu dan tepat sasaran,1
bagus produknya sesuai gambaran pembelian kedua,1
produk baik pengiriman cepatthanks,1
barang sudah diterima dengan baik kwalitas barang cukup bagus,1
thanksganbrg sdh diterima dengan baik,1
bagus sekali sepatunya dari semuanya fast respon kok,1
oooookkkkkkkkkkkkkkkkkkkkkkkkk,1
produk baru seminggu udh mati gimana sih,0
barang sudah sampai dengan selamat seneng belanja disini brang bagus y gak mengecewakan fast resp thankyu,1
batterynya sesuai dgn yang di pesan,1
good sellergood stuff,1
sudah selamat sampai tujuan trimakasih,1
biarkan bintang berkata,1
gan barang sudah saya terima thank you sukses,1
barang sesuai diskripsi dan original pelayanan cepat dan rekomendit seller,1
maaf pengiriman ke sangat buruk mati total barang cacad warna hitam hanya pula ganti aja deskripsi bos warna random,0
barang sudah masuk terima kasih,1
fast responpacking rapiukuran paspengiriman cepat pokoknya recommended,1
